上映ID,作品ID,作品名,スクリーンID,上映日,開始時刻,終了時刻,レイトショー,曜日種別,特別日
S00001,M0004,劇場版『チェンソーマン レゼ篇』,1,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00002,M0004,劇場版『チェンソーマン レゼ篇』,1,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00003,M0005,(吹替)ズートピア2,1,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00004,M0002,国宝,1,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00005,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00006,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00007,M0003,名探偵コナン 隻眼の残像,2,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00008,M0003,名探偵コナン 隻眼の残像,2,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00009,M0003,名探偵コナン 隻眼の残像,2,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00010,M0002,国宝,2,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00011,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00012,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00013,M0003,名探偵コナン 隻眼の残像,3,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00014,M0002,国宝,3,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00015,M0005,(吹替)ズートピア2,3,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00016,M0002,国宝,3,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00017,M0005,(吹替)ズートピア2,3,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00018,M0001,劇場版「鬼滅の刃」無限城編　第一章,3,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00019,M0003,名探偵コナン 隻眼の残像,4,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00020,M0002,国宝,4,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00021,M0004,劇場版『チェンソーマン レゼ篇』,4,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00022,M0003,名探偵コナン 隻眼の残像,4,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00023,M0004,劇場版『チェンソーマン レゼ篇』,4,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00024,M0002,国宝,4,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00025,M0004,劇場版『チェンソーマン レゼ篇』,5,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00026,M0004,劇場版『チェンソーマン レゼ篇』,5,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00027,M0003,名探偵コナン 隻眼の残像,5,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00028,M0001,劇場版「鬼滅の刃」無限城編　第一章,5,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00029,M0002,国宝,5,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00030,M0005,(吹替)ズートピア2,5,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00031,M0002,国宝,6,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00032,M0004,劇場版『チェンソーマン レゼ篇』,6,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00033,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00034,M0005,(吹替)ズートピア2,6,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00035,M0004,劇場版『チェンソーマン レゼ篇』,6,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00036,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00037,M0002,国宝,7,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00038,M0004,劇場版『チェンソーマン レゼ篇』,7,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00039,M0004,劇場版『チェンソーマン レゼ篇』,7,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00040,M0003,名探偵コナン 隻眼の残像,7,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00041,M0003,名探偵コナン 隻眼の残像,7,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00042,M0003,名探偵コナン 隻眼の残像,7,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00043,M0003,名探偵コナン 隻眼の残像,8,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00044,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00045,M0005,(吹替)ズートピア2,8,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00046,M0003,名探偵コナン 隻眼の残像,8,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00047,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00048,M0003,名探偵コナン 隻眼の残像,8,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00049,M0001,劇場版「鬼滅の刃」無限城編　第一章,9,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00050,M0004,劇場版『チェンソーマン レゼ篇』,9,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00051,M0004,劇場版『チェンソーマン レゼ篇』,9,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00052,M0003,名探偵コナン 隻眼の残像,9,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00053,M0003,名探偵コナン 隻眼の残像,9,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00054,M0002,国宝,9,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00055,M0001,劇場版「鬼滅の刃」無限城編　第一章,10,2025-01-01,09:30,11:30,False,土日祝,ファーストデイ
S00056,M0005,(吹替)ズートピア2,10,2025-01-01,12:00,14:00,False,土日祝,ファーストデイ
S00057,M0005,(吹替)ズートピア2,10,2025-01-01,14:30,16:30,False,土日祝,ファーストデイ
S00058,M0005,(吹替)ズートピア2,10,2025-01-01,17:00,19:00,False,土日祝,ファーストデイ
S00059,M0001,劇場版「鬼滅の刃」無限城編　第一章,10,2025-01-01,19:00,21:00,False,土日祝,ファーストデイ
S00060,M0002,国宝,10,2025-01-01,21:10,23:10,True,土日祝,ファーストデイ
S00061,M0003,名探偵コナン 隻眼の残像,1,2025-01-02,09:30,11:30,False,平日,
S00062,M0004,劇場版『チェンソーマン レゼ篇』,1,2025-01-02,12:00,14:00,False,平日,
S00063,M0004,劇場版『チェンソーマン レゼ篇』,1,2025-01-02,14:30,16:30,False,平日,
S00064,M0003,名探偵コナン 隻眼の残像,1,2025-01-02,17:00,19:00,False,平日,
S00065,M0003,名探偵コナン 隻眼の残像,1,2025-01-02,19:00,21:00,False,平日,
S00066,M0005,(吹替)ズートピア2,1,2025-01-02,21:10,23:10,True,平日,
S00067,M0003,名探偵コナン 隻眼の残像,2,2025-01-02,09:30,11:30,False,平日,
S00068,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-02,12:00,14:00,False,平日,
S00069,M0004,劇場版『チェンソーマン レゼ篇』,2,2025-01-02,14:30,16:30,False,平日,
S00070,M0004,劇場版『チェンソーマン レゼ篇』,2,2025-01-02,17:00,19:00,False,平日,
S00071,M0001,劇場版「鬼滅の刃」無限城編　第一章,2,2025-01-02,19:00,21:00,False,平日,
S00072,M0004,劇場版『チェンソーマン レゼ篇』,2,2025-01-02,21:10,23:10,True,平日,
S00073,M0001,劇場版「鬼滅の刃」無限城編　第一章,3,2025-01-02,09:30,11:30,False,平日,
S00074,M0003,名探偵コナン 隻眼の残像,3,2025-01-02,12:00,14:00,False,平日,
S00075,M0003,名探偵コナン 隻眼の残像,3,2025-01-02,14:30,16:30,False,平日,
S00076,M0001,劇場版「鬼滅の刃」無限城編　第一章,3,2025-01-02,17:00,19:00,False,平日,
S00077,M0004,劇場版『チェンソーマン レゼ篇』,3,2025-01-02,19:00,21:00,False,平日,
S00078,M0003,名探偵コナン 隻眼の残像,3,2025-01-02,21:10,23:10,True,平日,
S00079,M0001,劇場版「鬼滅の刃」無限城編　第一章,4,2025-01-02,09:30,11:30,False,平日,
S00080,M0002,国宝,4,2025-01-02,12:00,14:00,False,平日,
S00081,M0001,劇場版「鬼滅の刃」無限城編　第一章,4,2025-01-02,14:30,16:30,False,平日,
S00082,M0002,国宝,4,2025-01-02,17:00,19:00,False,平日,
S00083,M0005,(吹替)ズートピア2,4,2025-01-02,19:00,21:00,False,平日,
S00084,M0002,国宝,4,2025-01-02,21:10,23:10,True,平日,
S00085,M0004,劇場版『チェンソーマン レゼ篇』,5,2025-01-02,09:30,11:30,False,平日,
S00086,M0002,国宝,5,2025-01-02,12:00,14:00,False,平日,
S00087,M0004,劇場版『チェンソーマン レゼ篇』,5,2025-01-02,14:30,16:30,False,平日,
S00088,M0003,名探偵コナン 隻眼の残像,5,2025-01-02,17:00,19:00,False,平日,
S00089,M0005,(吹替)ズートピア2,5,2025-01-02,19:00,21:00,False,平日,
S00090,M0002,国宝,5,2025-01-02,21:10,23:10,True,平日,
S00091,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-02,09:30,11:30,False,平日,
S00092,M0004,劇場版『チェンソーマン レゼ篇』,6,2025-01-02,12:00,14:00,False,平日,
S00093,M0003,名探偵コナン 隻眼の残像,6,2025-01-02,14:30,16:30,False,平日,
S00094,M0005,(吹替)ズートピア2,6,2025-01-02,17:00,19:00,False,平日,
S00095,M0001,劇場版「鬼滅の刃」無限城編　第一章,6,2025-01-02,19:00,21:00,False,平日,
S00096,M0003,名探偵コナン 隻眼の残像,6,2025-01-02,21:10,23:10,True,平日,
S00097,M0005,(吹替)ズートピア2,7,2025-01-02,09:30,11:30,False,平日,
S00098,M0003,名探偵コナン 隻眼の残像,7,2025-01-02,12:00,14:00,False,平日,
S00099,M0001,劇場版「鬼滅の刃」無限城編　第一章,7,2025-01-02,14:30,16:30,False,平日,
S00100,M0001,劇場版「鬼滅の刃」無限城編　第一章,7,2025-01-02,17:00,19:00,False,平日,
S00101,M0003,名探偵コナン 隻眼の残像,7,2025-01-02,19:00,21:00,False,平日,
S00102,M0004,劇場版『チェンソーマン レゼ篇』,7,2025-01-02,21:10,23:10,True,平日,
S00103,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-02,09:30,11:30,False,平日,
S00104,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-02,12:00,14:00,False,平日,
S00105,M0003,名探偵コナン 隻眼の残像,8,2025-01-02,14:30,16:30,False,平日,
S00106,M0001,劇場版「鬼滅の刃」無限城編　第一章,8,2025-01-02,17:00,19:00,False,平日,
S00107,M0001,劇場版「鬼滅の刃」無限城編　第一章,8,2025-01-02,19:00,21:00,False,平日,
S00108,M0004,劇場版『チェンソーマン レゼ篇』,8,2025-01-02,21:10,23:10,True,平日,
S00109,M0001,劇場版「鬼滅の刃」無限城編　第一章,9,2025-01-02,09:30,11:30,False,平日,
S00110,M0001,劇場版「鬼滅の刃」無限城編　第一章,9,2025-01-02,12:00,14:00,False,平日,
S00111,M0001,劇場版「鬼滅の刃」無限城編　第一章,9,2025-01-02,14:30,16:30,False,平日,
S00112,M0002,国宝,9,2025-01-02,17:00,19:00,False,平日,
S00113,M0004,劇場版『チェンソーマン レゼ篇』,9,2025-01-02,19:00,21:00,False,平日,
S00114,M0003,名探偵コナン 隻眼の残像,9,2025-01-02,21:10,23:10,True,平日,
S00115,M0003,名探偵コナン 隻眼の残像,10,2025-01-02,09:30,11:30,False,平日,
S00116,M0003,名探偵コナン 隻眼の残像,10,2025-01-02,12:00,14:00,False,平日,
S00117,M0002,国宝,10,2025-01-02,14:30,16:30,False,平日,
S00118,M0004,劇場版『チェンソーマン レゼ篇』,10,2025-01-02,17:00,19:00,False,平日,
S00119,M0005,(吹替)ズートピア2,10,2025-01-02,19:00,21:00,False,平日,
S00120,M0005,(吹替)ズートピア2,10,2025-01-02,21:10,23:10,True,平日,
S00121,M0002,国宝,1,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00122,M0004,劇場版『チェンソーマン レゼ篇』,1,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00123,M0003,名探偵コナン 隻眼の残像,1,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00124,M0003,名探偵コナン 隻眼の残像,1,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00125,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00126,M0001,劇場版「鬼滅の刃」無限城編　第一章,1,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00127,M0005,(吹替)ズートピア2,2,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00128,M0005,(吹替)ズートピア2,2,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00129,M0003,名探偵コナン 隻眼の残像,2,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00130,M0003,名探偵コナン 隻眼の残像,2,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00131,M0003,名探偵コナン 隻眼の残像,2,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00132,M0002,国宝,2,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00133,M0004,劇場版『チェンソーマン レゼ篇』,3,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00134,M0004,劇場版『チェンソーマン レゼ篇』,3,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00135,M0001,劇場版「鬼滅の刃」無限城編　第一章,3,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00136,M0002,国宝,3,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00137,M0002,国宝,3,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00138,M0003,名探偵コナン 隻眼の残像,3,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00139,M0002,国宝,4,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00140,M0004,劇場版『チェンソーマン レゼ篇』,4,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00141,M0001,劇場版「鬼滅の刃」無限城編　第一章,4,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00142,M0004,劇場版『チェンソーマン レゼ篇』,4,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00143,M0005,(吹替)ズートピア2,4,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00144,M0004,劇場版『チェンソーマン レゼ篇』,4,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00145,M0003,名探偵コナン 隻眼の残像,5,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00146,M0003,名探偵コナン 隻眼の残像,5,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00147,M0002,国宝,5,2025-01-03,14:30,16:30,False,平日,レディースデイ
S00148,M0002,国宝,5,2025-01-03,17:00,19:00,False,平日,レディースデイ
S00149,M0005,(吹替)ズートピア2,5,2025-01-03,19:00,21:00,False,平日,レディースデイ
S00150,M0003,名探偵コナン 隻眼の残像,5,2025-01-03,21:10,23:10,True,平日,レディースデイ
S00151,M0005,(吹替)ズートピア2,6,2025-01-03,09:30,11:30,False,平日,レディースデイ
S00152,M0003,名探偵コナン 隻眼の残像,6,2025-01-03,12:00,14:00,False,平日,レディースデイ
S00153,M0002,国宝,6,2025-01-03,14:30,16:30,False,平日,レディースデイ
