年代,声の内容
30代,子どもと一緒にアニメ映画を観に来ましたが、シアター1の音響が迫力ありすぎて3歳の子が泣いてしまいました。小さい子向けの音量控えめ上映があると助かります。
20代,レディースデイに友達と来ました。1200円で観られるのは本当にありがたい！毎月金曜日が楽しみです。
50代,夫婦50割引を利用しています。二人で2400円はお得。ただ、割引の存在を知らない人も多いのでは？もっと告知してほしい。
10代,友達4人で来たけど、横並びの席が取れなかった。グループで来ることが多いので、グループ向けの席予約がしやすいといいな。
40代,平日の昼間に一人で来ることが多いです。静かに集中して観られるのが最高。ただ、隣に知らない人が座ると少し気まずい。
60代,字幕が小さくて読みにくい作品がある。シニア向けに字幕を大きく表示する回があると嬉しい。
20代,オンラインで事前に席を選べるのが便利。ただ、スマホの画面だと座席表が小さくて選びにくい。
,毎週月曜日のメンズデイを利用しています。安くて助かるけど、月曜は仕事帰りだと21時の回しか間に合わない。
30代,ベビーカーで来たのですが、置き場所がなくて困りました。ベビーカー置き場を設けてほしいです。
70代以上,足が悪いので、車イス席の近くに付き添いの席があると助かります。現状では少し離れた席になってしまう。
10代,映画の後にカフェでおしゃべりしたいけど、近くにあまりお店がない。館内にもう少しくつろげるスペースがあるといいな。
40代,シアター8は小さくて親密感があっていい。でも前の人の頭が気になることがある。段差をもう少しつけてほしい。
20代,レイトショーの1500円は嬉しいけど、終わるのが23時過ぎになると終電が心配。上映終了時刻を目立つところに書いてほしい。
50代,ファーストデイは本当に混む。毎月1日を楽しみにしているが、人気作品は早めに行かないと良い席が埋まってしまう。
30代,子連れで来ると、途中でトイレに行きたいと言い出す。再入場できるのはありがたいけど、通路側の席を確保しやすくしてほしい。
,予告編が長すぎる。本編が始まるまで20分以上あることも。もう少し短くしてほしい。
60代,シニア割引の1300円は嬉しい。年金生活でも映画を楽しめます。
10代,アニメ映画の初日に来たら、グッズが売り切れていた。もっと在庫を増やしてほしい。
20代,一人で映画を観るのが好き。通路側の席が取りやすいのがいい。でも両隣が埋まっていると少し窮屈。
40代,スクリーンによって音響の差が激しい。シアター1で観た映画がすごく良かったので、次は別のスクリーンで観たら物足りなかった。
30代,ポップコーンの匂いが気になる。食べ物の持ち込みマナーをもう少し周知してほしい。
20代,公開初週は大きいスクリーンで上映されるのに、2週目から小さいスクリーンに移されるのが残念。もう少し大きいスクリーンで上映してほしい。
50代,メンズデイに来ました。男性一人客が多くて居心地がいい。同じ趣味の人が集まっている感じ。
10代,高校の帰りに友達と寄れる距離にあるのが嬉しい。学生料金1500円はちょっと高いかな…
,上映中にスマホを見る人がいて集中できない。もっと注意喚起してほしい。
40代,座席の前後間隔がもう少し広いとありがたい。特に冬はコートを着たまま座ると窮屈。
60代,平日の朝一番の回は空いていて快適。高齢者には午前中の上映が嬉しい。
,駐車場が分かりにくい。初めて来たとき迷った。
50代,最近は字幕版と吹替版の両方を上映してくれるので選べて嬉しい。以前は吹替だけのことが多かった。
10代,鬼滅の刃を観に来ました！シアター1の音がすごすぎて鳥肌が立ちました。
40代,平日の夜に一人で来るのが至福の時間。レイトショーで1500円、コスパ最高。
20代,彼女とデートで来たけど、カップルシートがない。二人でゆったり座れる席があるといいのに。
70代以上,孫と一緒にドラえもんを観に来ました。孫が喜んでくれて嬉しかった。トイレが近いので通路側の席を選んでいます。
30代,オンライン予約で「この席は見やすいですよ」みたいなおすすめ表示があると選びやすい。
,上映開始時刻ギリギリに来る人が多くて、暗い中で通路を歩かれると気が散る。
60代,パンフレットを買うのが楽しみ。でも最近は売り切れが早い。
20代,IMAX上映してほしい。静岡にIMAXがないのが残念。
40代,会員カードのポイントが貯まりにくい気がする。もう少しポイント還元率を上げてほしい。
