スクリーンID,スクリーン名,座席数,車イス席数,スクリーンサイズ,音響システム,仕様
1,シアター1,320,2,W15.5m×H6.6m,デジタル 5.1ch・7.1ch,4K RGB レーザー／重低音体感上映 対応
2,シアター2,231,2,W12.1m×H5.2m,デジタル 5.1ch・7.1ch,重低音体感上映 対応
3,シアター3,86,2,W8.8m×H3.8m,デジタル 5.1ch・7.1ch,35mmフィルム上映 可
4,シアター4,145,2,W10.4m×H4.5m,デジタル5.1ch,3D上映 可
5,シアター5,214,2,W11.8m×H5.05m,デジタル5.1ch,
6,シアター6,200,2,W12.0m×H5.1m,デジタル5.1ch,3D上映 可
7,シアター7,194,2,W11.0m×H4.7m,デジタル5.1ch,
8,シアター8,76,2,W8.0m×H3.5m,デジタル5.1ch,
9,シアター9,162,2,W10.8m×H4.65m,デジタル5.1ch,
10,シアター10,313,2,W15.5m×H6.6m,デジタル5.1ch,3D上映 可
