座席ID,スクリーンID,列,座席番号,ブロック,通路側,車イス席,座席ランク
T01-A-01,1,A,1,左,False,False,前方
T01-A-02,1,A,2,左,False,False,前方
T01-A-03,1,A,3,左,False,False,前方
T01-A-04,1,A,4,左,True,False,前方
T01-A-07,1,A,7,中央,True,False,前方
T01-A-08,1,A,8,中央,False,False,前方
T01-A-09,1,A,9,中央,False,False,前方
T01-A-10,1,A,10,中央,False,False,前方
T01-A-11,1,A,11,中央,False,False,前方
T01-A-12,1,A,12,中央,False,False,前方
T01-A-13,1,A,13,中央,False,False,前方
T01-A-14,1,A,14,中央,False,False,前方
T01-A-15,1,A,15,中央,False,False,前方
T01-A-16,1,A,16,中央,False,False,前方
T01-A-17,1,A,17,中央,False,False,前方
T01-A-18,1,A,18,中央,False,False,前方
T01-A-19,1,A,19,中央,False,False,前方
T01-A-20,1,A,20,中央,True,False,前方
T01-A-23,1,A,23,右,True,False,前方
T01-A-24,1,A,24,右,False,False,前方
T01-A-25,1,A,25,右,False,False,前方
T01-A-26,1,A,26,右,False,False,前方
T01-B-01,1,B,1,左,False,False,前方
T01-B-02,1,B,2,左,False,False,前方
T01-B-03,1,B,3,左,False,False,前方
T01-B-04,1,B,4,左,True,False,前方
T01-B-07,1,B,7,中央,True,False,前方
T01-B-08,1,B,8,中央,False,False,前方
T01-B-09,1,B,9,中央,False,False,前方
T01-B-10,1,B,10,中央,False,False,前方
T01-B-11,1,B,11,中央,False,False,前方
T01-B-12,1,B,12,中央,False,False,前方
T01-B-13,1,B,13,中央,False,False,前方
T01-B-14,1,B,14,中央,False,False,前方
T01-B-15,1,B,15,中央,False,False,前方
T01-B-16,1,B,16,中央,False,False,前方
T01-B-17,1,B,17,中央,False,False,前方
T01-B-18,1,B,18,中央,False,False,前方
T01-B-19,1,B,19,中央,False,False,前方
T01-B-20,1,B,20,中央,True,False,前方
T01-B-23,1,B,23,右,True,False,前方
T01-B-24,1,B,24,右,False,False,前方
T01-B-25,1,B,25,右,False,False,前方
T01-B-26,1,B,26,右,False,False,前方
T01-C-01,1,C,1,左,False,False,スタンダード
T01-C-02,1,C,2,左,False,False,スタンダード
T01-C-03,1,C,3,左,False,False,スタンダード
T01-C-04,1,C,4,左,True,False,スタンダード
T01-C-07,1,C,7,中央,True,False,スタンダード
T01-C-08,1,C,8,中央,False,False,スタンダード
T01-C-09,1,C,9,中央,False,False,スタンダード
T01-C-10,1,C,10,中央,False,False,スタンダード
T01-C-11,1,C,11,中央,False,False,スタンダード
T01-C-12,1,C,12,中央,False,False,スタンダード
T01-C-13,1,C,13,中央,False,False,スタンダード
T01-C-14,1,C,14,中央,False,False,スタンダード
T01-C-15,1,C,15,中央,False,False,スタンダード
T01-C-16,1,C,16,中央,False,False,スタンダード
T01-C-17,1,C,17,中央,False,False,スタンダード
T01-C-18,1,C,18,中央,False,False,スタンダード
T01-C-19,1,C,19,中央,False,False,スタンダード
T01-C-20,1,C,20,中央,True,False,スタンダード
T01-C-23,1,C,23,右,True,False,スタンダード
T01-C-24,1,C,24,右,False,False,スタンダード
T01-C-25,1,C,25,右,False,False,スタンダード
T01-C-26,1,C,26,右,False,False,スタンダード
T01-D-01,1,D,1,左,False,False,スタンダード
T01-D-02,1,D,2,左,False,False,スタンダード
T01-D-03,1,D,3,左,False,False,スタンダード
T01-D-04,1,D,4,左,True,False,スタンダード
T01-D-07,1,D,7,中央,True,False,スタンダード
T01-D-08,1,D,8,中央,False,False,スタンダード
T01-D-09,1,D,9,中央,False,False,スタンダード
T01-D-10,1,D,10,中央,False,False,スタンダード
T01-D-11,1,D,11,中央,False,False,スタンダード
T01-D-12,1,D,12,中央,False,False,スタンダード
T01-D-13,1,D,13,中央,False,False,スタンダード
T01-D-14,1,D,14,中央,False,False,スタンダード
T01-D-15,1,D,15,中央,False,False,スタンダード
T01-D-16,1,D,16,中央,False,False,スタンダード
T01-D-17,1,D,17,中央,False,False,スタンダード
T01-D-18,1,D,18,中央,False,False,スタンダード
T01-D-19,1,D,19,中央,False,False,スタンダード
T01-D-20,1,D,20,中央,True,False,スタンダード
T01-D-23,1,D,23,右,True,False,スタンダード
T01-D-24,1,D,24,右,False,False,スタンダード
T01-D-25,1,D,25,右,False,False,スタンダード
T01-D-26,1,D,26,右,False,False,スタンダード
T01-E-01,1,E,1,左,False,False,スタンダード
T01-E-02,1,E,2,左,False,False,スタンダード
T01-E-03,1,E,3,左,False,False,スタンダード
T01-E-04,1,E,4,左,True,False,スタンダード
T01-E-07,1,E,7,中央,True,False,スタンダード
T01-E-08,1,E,8,中央,False,False,スタンダード
T01-E-09,1,E,9,中央,False,False,スタンダード
T01-E-10,1,E,10,中央,False,False,スタンダード
T01-E-11,1,E,11,中央,False,False,スタンダード
T01-E-12,1,E,12,中央,False,False,スタンダード
T01-E-13,1,E,13,中央,False,False,スタンダード
T01-E-14,1,E,14,中央,False,False,スタンダード
T01-E-15,1,E,15,中央,False,False,スタンダード
T01-E-16,1,E,16,中央,False,False,スタンダード
T01-E-17,1,E,17,中央,False,False,スタンダード
T01-E-18,1,E,18,中央,False,False,スタンダード
T01-E-19,1,E,19,中央,False,False,スタンダード
T01-E-20,1,E,20,中央,True,False,スタンダード
T01-E-23,1,E,23,右,True,False,スタンダード
T01-E-24,1,E,24,右,False,False,スタンダード
T01-E-25,1,E,25,右,False,False,スタンダード
T01-E-26,1,E,26,右,False,False,スタンダード
T01-F-01,1,F,1,左,False,False,スタンダード
T01-F-02,1,F,2,左,False,False,スタンダード
T01-F-03,1,F,3,左,False,False,スタンダード
T01-F-04,1,F,4,左,True,False,スタンダード
T01-F-07,1,F,7,中央,True,False,プレミアム
T01-F-08,1,F,8,中央,False,False,プレミアム
T01-F-09,1,F,9,中央,False,False,プレミアム
T01-F-10,1,F,10,中央,False,False,プレミアム
T01-F-11,1,F,11,中央,False,False,プレミアム
T01-F-12,1,F,12,中央,False,False,プレミアム
T01-F-13,1,F,13,中央,False,False,プレミアム
T01-F-14,1,F,14,中央,False,False,プレミアム
T01-F-15,1,F,15,中央,False,False,プレミアム
T01-F-16,1,F,16,中央,False,False,プレミアム
T01-F-17,1,F,17,中央,False,False,プレミアム
T01-F-18,1,F,18,中央,False,False,プレミアム
T01-F-19,1,F,19,中央,False,False,プレミアム
T01-F-20,1,F,20,中央,True,False,プレミアム
T01-F-23,1,F,23,右,True,False,スタンダード
T01-F-24,1,F,24,右,False,False,スタンダード
T01-F-25,1,F,25,右,False,False,スタンダード
T01-F-26,1,F,26,右,False,False,スタンダード
T01-G-01,1,G,1,左,False,False,スタンダード
T01-G-02,1,G,2,左,False,False,スタンダード
T01-G-03,1,G,3,左,False,False,スタンダード
T01-G-04,1,G,4,左,True,False,スタンダード
T01-G-08,1,G,8,中央,True,True,プレミアム
T01-G-09,1,G,9,中央,False,False,プレミアム
T01-G-10,1,G,10,中央,False,False,プレミアム
T01-G-11,1,G,11,中央,False,False,プレミアム
T01-G-12,1,G,12,中央,False,False,プレミアム
T01-G-13,1,G,13,中央,False,False,プレミアム
T01-G-14,1,G,14,中央,False,False,プレミアム
T01-G-15,1,G,15,中央,False,False,プレミアム
T01-G-16,1,G,16,中央,False,False,プレミアム
T01-G-17,1,G,17,中央,False,False,プレミアム
T01-G-18,1,G,18,中央,False,False,プレミアム
T01-G-19,1,G,19,中央,True,True,プレミアム
T01-G-23,1,G,23,右,True,False,スタンダード
T01-G-24,1,G,24,右,False,False,スタンダード
T01-H-01,1,H,1,左,False,False,スタンダード
T01-H-02,1,H,2,左,False,False,スタンダード
T01-H-03,1,H,3,左,False,False,スタンダード
T01-H-04,1,H,4,左,True,False,スタンダード
T01-H-07,1,H,7,中央,True,False,プレミアム
T01-H-08,1,H,8,中央,False,False,プレミアム
T01-H-09,1,H,9,中央,False,False,プレミアム
T01-H-10,1,H,10,中央,False,False,プレミアム
T01-H-11,1,H,11,中央,False,False,プレミアム
T01-H-12,1,H,12,中央,False,False,プレミアム
T01-H-13,1,H,13,中央,False,False,プレミアム
T01-H-14,1,H,14,中央,False,False,プレミアム
T01-H-15,1,H,15,中央,False,False,プレミアム
T01-H-16,1,H,16,中央,False,False,プレミアム
T01-H-17,1,H,17,中央,False,False,プレミアム
T01-H-18,1,H,18,中央,False,False,プレミアム
T01-H-19,1,H,19,中央,False,False,プレミアム
T01-H-20,1,H,20,中央,True,False,プレミアム
T01-H-23,1,H,23,右,True,False,スタンダード
T01-H-24,1,H,24,右,False,False,スタンダード
T01-I-01,1,I,1,左,False,False,スタンダード
T01-I-02,1,I,2,左,False,False,スタンダード
T01-I-03,1,I,3,左,False,False,スタンダード
T01-I-04,1,I,4,左,True,False,スタンダード
T01-I-07,1,I,7,中央,True,False,プレミアム
T01-I-08,1,I,8,中央,False,False,プレミアム
T01-I-09,1,I,9,中央,False,False,プレミアム
T01-I-10,1,I,10,中央,False,False,プレミアム
T01-I-11,1,I,11,中央,False,False,プレミアム
T01-I-12,1,I,12,中央,False,False,プレミアム
T01-I-13,1,I,13,中央,False,False,プレミアム
T01-I-14,1,I,14,中央,False,False,プレミアム
T01-I-15,1,I,15,中央,False,False,プレミアム
T01-I-16,1,I,16,中央,False,False,プレミアム
T01-I-17,1,I,17,中央,False,False,プレミアム
T01-I-18,1,I,18,中央,False,False,プレミアム
T01-I-19,1,I,19,中央,False,False,プレミアム
T01-I-20,1,I,20,中央,True,False,プレミアム
T01-I-23,1,I,23,右,True,False,スタンダード
T01-I-24,1,I,24,右,False,False,スタンダード
T01-J-01,1,J,1,左,False,False,スタンダード
T01-J-02,1,J,2,左,False,False,スタンダード
T01-J-03,1,J,3,左,False,False,スタンダード
T01-J-04,1,J,4,左,True,False,スタンダード
T01-J-07,1,J,7,中央,True,False,プレミアム
T01-J-08,1,J,8,中央,False,False,プレミアム
T01-J-09,1,J,9,中央,False,False,プレミアム
T01-J-10,1,J,10,中央,False,False,プレミアム
T01-J-11,1,J,11,中央,False,False,プレミアム
T01-J-12,1,J,12,中央,False,False,プレミアム
T01-J-13,1,J,13,中央,False,False,プレミアム
T01-J-14,1,J,14,中央,False,False,プレミアム
T01-J-15,1,J,15,中央,False,False,プレミアム
T01-J-16,1,J,16,中央,False,False,プレミアム
T01-J-17,1,J,17,中央,False,False,プレミアム
T01-J-18,1,J,18,中央,False,False,プレミアム
